id;end_date;profit;jhi_table;sb_bb;nb_hands
1;2019-11-13T07:54:51;29348;Jewelery;monitor;72900
2;2019-11-12T17:43:09;77127;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;37081
3;2019-11-13T05:13:11;66884;payment;withdrawal COM;47221
4;2019-11-13T03:29:35;11959;bus synthesize Idaho;Networked Sleek Metal Table Small;43933
5;2019-11-13T10:05:38;20171;Dynamic;knowledge base Buckinghamshire;90756
6;2019-11-13T09:20:21;24929;relationships override;Brand;59886
7;2019-11-13T05:43:45;69478;JSON;virtual deposit;87146
8;2019-11-13T01:43:35;80367;maroon;EXE projection Fresh;35629
9;2019-11-13T05:03:04;90682;contextually-based;synergies copying;86073
10;2019-11-13T05:22:07;695;Borders;Bedfordshire Bahamian Dollar;26941
