id;start_date;name;type;net_result
1;2019-11-19T13:59:42;zero tolerance;CASH_GAME;50267
2;2019-11-19T11:21:04;Home;TOURNOI;53093
3;2019-11-19T09:28:09;Designer Persistent;CASH_GAME;36778
4;2019-11-19T09:55:44;Orchestrator deliver;TOURNOI;69581
5;2019-11-19T20:14:14;Kentucky Algerian Dinar Clothing;TOURNOI;17436
6;2019-11-18T22:38:37;disintermediate Cambridgeshire hacking;CASH_GAME;69578
7;2019-11-19T15:01:31;deposit;CASH_GAME;9310
8;2019-11-18T22:02:46;Virginia THX pink;CASH_GAME;84666
9;2019-11-18T23:41:08;AI optical invoice;CASH_GAME;89855
10;2019-11-19T05:09:37;Alabama transform;SIT_AND_GO;48561
