id;name;added_date;is_me
1;deliverables reinvent 24 hour;2019-11-01T09:57:23;true
2;monitor;2019-10-31T16:47:54;true
3;Checking Account Identity deposit;2019-10-31T12:20:08;true
4;Investment Account archive Fantastic Plastic Chicken;2019-11-01T02:29:24;true
5;New York tangible Mississippi;2019-11-01T01:06:15;false
6;bus synthesize Idaho;2019-10-31T15:47:29;false
7;Sleek Metal Table Small;2019-10-31T23:45:02;false
8;Outdoors;2019-10-31T19:01:15;false
9;Montana;2019-10-31T17:36:08;true
10;Phased;2019-11-01T00:26:43;true
